trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.8419791731684999, 'e': 0.17906614791149325}",20,8,-2.068832905888141,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.8411376148446232, 'e': 0.17728440996987782}",20,16,5.506515053395565,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8402968976584314, 'e': 0.1755204006169969}",25,0,38.94452143520128,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.8394570207692074, 'e': 0.17377394345044514}",20,13,12.691077880324714,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.838617983337074, 'e': 0.17204486382305054}",20,7,18.900538192353846,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8377797845229938, 'e': 0.17033298882540945}",20,7,4.272056136315886,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.8369424234887681, 'e': 0.16863814726859552}",20,8,19.422834111390227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8361058993970355, 'e': 0.16696016966704072}",30,16,4.456354004126576,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.835270211411272, 'e': 0.16529888822158656}",20,4,27.409342411796267,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8344353586957896, 'e': 0.16365413680270408}",20,16,4.896118278636183,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8336013404157353, 'e': 0.16202575093388077}",30,23,12.07469440185374,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.832768155737091, 'e': 0.16041356777517277}",20,16,5.402101028515916,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8319358038266718, 'e': 0.1588174261069207}",25,7,22.790538437351955,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8311042838521256, 'e': 0.1572371663136276}",25,7,23.604266879289337,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.8302735949819328, 'e': 0.1556726303679973}",20,10,11.716619479746488,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
